City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ilulissat,69.2167,-51.1,-5.99,86,40,0.0,GL,1712108189
83,corinto,37.9407,22.9573,16.61,66,100,3.34,GR,1712108190
84,dimako,4.3833,13.5667,21.87,80,100,1.46,CM,1712108190
85,dzhalagash,45.0833,64.6667,8.12,53,0,3.8,KZ,1712108191
86,edinburgh of the seven seas,-37.0676,-12.3116,15.18,74,55,7.87,SH,1712108192
87,dakhla,23.6848,-15.958,18.22,84,0,10.76,EH,1712107605
88,bryne,58.7354,5.6477,5.52,90,100,1.03,NO,1712108193
89,urangan,-25.3,152.9,25.5,71,0,1.64,AU,1712108028
90,keminmaa,65.8596,24.8228,-9.13,57,0,4.12,FI,1712108194
91,ribeira grande,38.5167,-28.7,17.1,85,100,9.83,PT,1712108195
92,port blair,11.6667,92.75,28.02,83,17,0.0,IN,1712108196
93,pangkalanbuun,-2.6833,111.6167,30.13,73,68,1.31,ID,1712108196
94,cabo san lucas,22.8909,-109.9124,22.61,67,0,3.6,MX,1712108074
95,pont rouge,48.8833,-72.0825,-0.84,83,12,3.09,CA,1712108198
96,faya-largeau,17.9257,19.1043,26.31,14,79,6.11,TD,1712108199
97,karratha,-20.7377,116.8463,34.01,28,50,11.98,AU,1712108199
98,kinablangan,7.6947,126.5503,28.96,65,88,2.22,PH,1712108200
99,puerto ayora,-0.7393,-90.3518,25.86,93,100,1.34,EC,1712108201
100,hawaiian paradise park,19.5933,-154.9731,24.85,79,100,6.69,US,1712108201
101,mount isa,-20.7333,139.5,29.87,54,4,5.14,AU,1712108202
102,hermanus,-34.4187,19.2345,13.78,89,98,4.23,ZA,1712108203
103,richards bay,-28.783,32.0377,22.36,92,49,4.27,ZA,1712108203
104,san patricio,28.017,-97.5169,27.92,39,0,7.92,US,1712108204
105,lilongwe,-13.9669,33.7873,19.05,89,96,1.3,MW,1712108205
106,east london,-33.0153,27.9116,17.93,71,53,3.32,ZA,1712108205
107,weno,7.4515,151.8468,30.97,70,75,5.66,FM,1712108206
108,luderitz,-26.6481,15.1594,17.68,72,0,2.84,NA,1712108207
109,moratuwa,6.773,79.8816,26.01,84,100,2.08,LK,1712108207
110,cambria,35.5641,-121.0808,22.41,84,0,2.68,US,1712108208
111,quang ngai,15.1167,108.8,31.79,60,19,2.36,VN,1712108209
112,magistral'nyy,56.1725,107.4458,-7.57,85,71,2.36,RU,1712108209
113,ejura,7.3856,-1.3562,25.24,78,100,2.11,GH,1712108210
114,dunedin,-45.8742,170.5036,17.67,69,84,2.24,NZ,1712108201
115,balod,20.73,81.2047,30.24,20,4,3.2,IN,1712108212
116,ulanhot,46.0833,122.0833,6.8,22,31,8.14,CN,1712108212
117,tiksi,71.6872,128.8694,-19.5,96,100,2.1,RU,1712108213
118,buri ram,14.9943,103.1039,29.15,38,51,3.59,TH,1712108214
119,valentin gomez farias,28.2167,-106.5833,8.54,50,81,5.06,MX,1712108215
120,illizi,26.4833,8.4667,21.89,14,3,2.94,DZ,1712108216
121,glubokoye,50.1456,82.3114,2.86,93,100,3.0,KZ,1712108216
122,vorgashor,67.5833,63.95,-24.22,98,20,3.73,RU,1712108217
123,college,64.8569,-147.8028,-9.03,53,75,5.14,US,1712108017
124,fort bragg,35.139,-79.006,24.91,63,0,4.63,US,1712108134
125,jamestown,42.097,-79.2353,9.84,91,100,6.17,US,1712108141
126,santa marta,11.2408,-74.199,30.03,68,20,8.49,CO,1712108212
127,malango,-2.9627,119.9001,26.59,72,100,0.96,ID,1712108221
128,taulaga,-11.0553,-171.0883,28.61,75,100,2.24,AS,1712108222
129,freetown,8.484,-13.2299,27.84,61,0,3.09,SL,1712108223
130,kattivakkam,13.2167,80.3167,28.05,80,52,5.9,IN,1712108224
131,barclayville,4.6797,-8.2339,26.68,93,96,2.1,LR,1712108225
132,beloyarskiy,63.7119,66.6722,-6.67,75,100,5.81,RU,1712108225
133,la passe,45.5549,-0.8967,12.21,90,94,9.7,FR,1712108226
134,i-n-salah,27.1935,2.4607,23.66,19,0,5.66,DZ,1712108227
135,chingola,-12.529,27.8838,16.07,98,97,1.85,ZM,1712108227
136,hotan,37.0997,79.9269,10.42,26,100,3.24,CN,1712108229
137,antofagasta,-23.65,-70.4,19.6,85,0,0.9,CL,1712108066
138,trevelin,-43.0858,-71.4639,4.15,96,60,3.53,AR,1712108230
139,kermit,31.8576,-103.0927,16.69,29,0,5.14,US,1712108231
140,newman,37.3138,-121.0208,24.13,45,0,0.48,US,1712107997
141,thompson,55.7435,-97.8558,2.09,64,75,0.0,CA,1712108232
142,kodiak,57.79,-152.4072,2.73,28,0,7.72,US,1712108233
143,yellowknife,62.456,-114.3525,-0.71,64,75,5.66,CA,1712107951
144,stanley,54.868,-1.6985,6.55,98,100,2.57,GB,1712108234
145,mermoz boabab,14.7065,-17.4758,21.31,88,0,5.14,SN,1712108235
146,maffra,-37.9667,146.9833,15.33,66,96,4.67,AU,1712108236
147,ad dawadimi,24.5077,44.3924,13.64,75,6,2.34,SA,1712108237
148,pacific grove,36.6177,-121.9166,17.9,78,0,3.6,US,1712108094
149,alice springs,-23.7,133.8833,23.45,32,0,6.17,AU,1712108234
150,dno,57.8277,29.9637,10.69,96,26,1.6,RU,1712108239
151,brookings,44.3114,-96.7984,5.1,66,100,9.26,US,1712108240
152,utrik,11.2278,169.8474,26.79,78,100,8.3,MH,1712108240
153,pozo del molle,-32.0186,-62.9198,18.38,73,64,3.61,AR,1712108241
154,nizhneangarsk,55.7833,109.55,-11.67,84,50,0.89,RU,1712108242
155,geraldton,-28.7667,114.6,28.23,30,100,7.2,AU,1712108242
156,kalilangan,7.8211,124.7314,29.26,29,85,3.09,PH,1712108243
157,khuzdar,27.7384,66.6434,18.02,22,100,2.65,PK,1712108244
158,saint-pierre,-21.3393,55.4781,24.82,78,75,11.83,RE,1712108244
159,tura,25.5198,90.2201,26.43,52,50,1.84,IN,1712108245
160,codrington,-38.2667,141.9667,15.26,66,99,4.2,AU,1712108246
161,kununurra,-15.7667,128.7333,30.99,66,40,5.14,AU,1712107991
162,puerto natales,-51.7236,-72.4875,2.74,85,86,3.88,CL,1712108247
163,kuta,-8.7233,115.1723,28.97,88,20,1.54,ID,1712108248
164,batang,-6.4846,110.7083,29.46,76,28,0.82,ID,1712108094
165,abnub,27.2696,31.1511,20.12,35,0,3.43,EG,1712108250
166,liaoyuan,42.9036,125.1358,7.84,27,100,3.95,CN,1712108250
167,miramichi,47.0043,-65.4654,-0.26,94,100,3.43,CA,1712107990
168,aykhal,66.0,111.5,-9.89,80,100,6.85,RU,1712108252
169,saudarkrokur,65.7461,-19.6394,-11.11,83,21,3.82,IS,1712108252
170,cantley,53.5,-1.05,9.53,93,100,4.44,GB,1712108253
171,rabo de peixe,37.8,-25.5833,17.77,99,20,8.23,PT,1712108254
172,sao joao da barra,-21.6403,-41.0511,24.58,87,100,3.2,BR,1712108054
173,poronaysk,49.2167,143.1167,3.73,54,20,0.46,RU,1712108255
174,dos palos,36.9861,-120.6266,24.07,51,0,1.51,US,1712108256
175,smara,26.7384,-11.6719,15.34,76,0,4.45,EH,1712108256
176,mogocha,53.7333,119.7667,1.29,50,14,3.01,RU,1712108257
177,gorom-gorom,14.4439,-0.2361,31.29,13,79,3.05,BF,1712108258
178,kingston,17.997,-76.7936,27.53,69,20,9.26,JM,1712107615
179,dudinka,69.4058,86.1778,-10.18,94,100,6.71,RU,1712108259
180,ust'-ilimsk,58.0006,102.6619,-3.09,78,99,2.24,RU,1712108260
181,portachuelo,-17.35,-63.4,24.5,97,67,2.24,BO,1712108260
182,port mathurin,-19.6833,63.4167,26.68,82,98,6.2,MU,1712108262
183,hadibu,12.65,54.0333,25.78,80,69,3.26,YE,1712108262
184,gunjur,13.2019,-16.7339,23.04,68,0,6.81,GM,1712108264
185,rio grande,-32.035,-52.0986,18.33,69,3,2.38,BR,1712108046
186,santo domingo de los colorados,-0.25,-79.15,20.89,97,100,0.72,EC,1712108265
187,al khafji,28.4391,48.4913,22.34,42,8,4.25,SA,1712108183
188,melekeok village,7.4957,134.6367,27.31,89,100,5.66,PW,1712108266
189,nuuk,64.1835,-51.7216,-0.66,69,24,5.66,GL,1712108268
190,boa vista,2.8197,-60.6733,31.99,45,97,2.57,BR,1712108268
191,ust-nera,64.5667,143.2,-9.93,77,77,1.49,RU,1712108269
192,pokhara,28.2333,83.9833,25.09,21,84,0.57,NP,1712108270
193,atafu village,-8.5421,-172.5159,29.45,71,100,1.38,TK,1712108270
194,anadyr,64.75,177.4833,-8.72,85,75,14.75,RU,1712108271
195,berezovyy,51.6667,135.7,4.64,52,9,0.78,RU,1712108272
196,cachoeirinha,-29.9511,-51.0939,21.29,87,100,3.09,BR,1712108272
197,galliano,29.4422,-90.2992,24.0,88,100,5.14,US,1712108273
198,saurimo,-9.6608,20.3916,18.94,97,100,1.33,AO,1712108274
199,hamilton,39.1834,-84.5333,18.69,90,75,6.71,US,1712108008
200,longyearbyen,78.2186,15.6401,-16.09,72,75,4.12,SJ,1712108268
201,argo,37.6333,22.7333,16.55,63,100,2.11,GR,1712108276
202,vilyuysk,63.7553,121.6247,-7.78,94,100,3.58,RU,1712108277
203,rexburg,43.826,-111.7897,13.73,47,0,5.14,US,1712108278
204,castlegar,49.2998,-117.6689,13.38,84,63,1.72,CA,1712108278
205,tatarsk,55.219,75.9828,0.56,87,100,4.91,RU,1712108279
206,irvine,33.6695,-117.8231,24.9,57,20,2.57,US,1712108047
207,khost,33.3395,69.9204,14.03,45,0,2.41,AF,1712108280
